round,test_accuracy,test_loss
0,0.1165,2.303514973831177
1,0.0958,2.3658537448883057
2,0.3543,1.803621007156372
3,0.7401,0.7945608378410339
4,0.7731,0.7343589202880859
5,0.7422,0.7746200330734253
6,0.844,0.4920871103286743
7,0.8909,0.3599321834564209
8,0.8629,0.41378012619018556
9,0.8989,0.31989433698654174
10,0.8568,0.4419492967605591
11,0.8415,0.498992977142334
12,0.9116,0.2777913136959076
13,0.8965,0.331613510799408
14,0.924,0.2532947082519531
15,0.9248,0.2424173108100891
16,0.9357,0.20589608397483825
17,0.8796,0.3670171105384827
18,0.9456,0.18733655843734742
19,0.935,0.21557021927833558
20,0.9467,0.1745816967010498
21,0.9418,0.18978964066505433
22,0.9381,0.1913179328918457
23,0.944,0.178040549993515
24,0.947,0.1655205973148346
25,0.953,0.14998661074638367
