round,test_accuracy,test_loss
1,0.5438,1.3582719482421874
2,0.8899,0.48573949394226074
3,0.9404,0.2119353844165802
4,0.9431,0.18280424370765685
5,0.9381,0.19546912474632264
6,0.9445,0.16739224910736084
7,0.9663,0.10529261145591735
8,0.9722,0.08627131354808808
9,0.9729,0.08562361319065094
10,0.9746,0.08103183250427246
11,0.9502,0.15405279493331908
12,0.9755,0.0760838089942932
13,0.9495,0.15494794828891753
14,0.9713,0.0880024867773056
15,0.9807,0.05881497653722763
16,0.9769,0.06314344623088837
17,0.9802,0.0571475541472435
18,0.9822,0.05458138508796692
19,0.9847,0.04669754251241684
20,0.984,0.04822597995996475
21,0.9842,0.04700742822885513
22,0.9777,0.06602688652276993
23,0.9815,0.05436178735494614
24,0.9854,0.04557475466728211
25,0.9791,0.06335181002616883
