round,test_accuracy,test_loss
0,0.0601,2.305792631149292
1,0.5969,1.1511831043243408
2,0.8196,0.542032746219635
3,0.9268,0.2321706618309021
4,0.9371,0.18942377352714537
5,0.9586,0.134147252368927
6,0.9504,0.15324153428077697
7,0.9626,0.11391622354984283
8,0.9691,0.09578690142631531
9,0.9646,0.10378139257431031
10,0.9736,0.08186351332664489
11,0.9733,0.07867791121006013
12,0.9755,0.0725054090499878
13,0.9754,0.07293769559860229
14,0.9747,0.07335681865215302
15,0.9803,0.05919915609359741
16,0.9778,0.06566273002624512
17,0.9772,0.06616963143348693
18,0.979,0.060288577699661255
19,0.9789,0.06374736251831055
20,0.9838,0.04813087085485458
21,0.9815,0.05142466344833374
22,0.9835,0.04972665680646896
23,0.9824,0.05070644227266312
24,0.9849,0.04403274472951889
25,0.9858,0.04633196380138397
