round,test_accuracy,test_loss
0,0.0754,2.30521962928772
1,0.4981,1.961006216430664
2,0.9308,0.20716679139137267
3,0.9655,0.11093873977661133
4,0.9652,0.11001708824634553
5,0.9767,0.06832065116167069
6,0.97,0.09303422129154205
7,0.9787,0.0676355553150177
8,0.98,0.06708538386821747
9,0.9818,0.06511323096752167
10,0.9818,0.06100490026473999
11,0.9801,0.06554214782714844
12,0.9807,0.060591691327095035
13,0.9816,0.06410234270095826
14,0.9849,0.051606330859661105
15,0.9843,0.05480963017940521
16,0.986,0.04936475545167923
17,0.9858,0.048737737011909484
18,0.9828,0.0604788592338562
19,0.9874,0.050487243366241455
20,0.988,0.03992404979467392
21,0.9845,0.06360086251497268
22,0.9831,0.07157131628990174
23,0.9874,0.04902807859182358
24,0.9868,0.04555266081690788
25,0.9846,0.06365589282512665
