round,test_accuracy,test_loss
0,0.0785,2.307059178161621
1,0.5182,1.3859911396026612
2,0.8252,0.4960904926300049
3,0.8761,0.37052669591903686
4,0.9023,0.298988214302063
5,0.9315,0.22649616737365721
6,0.9142,0.25242233247756957
7,0.9458,0.18260429821014404
8,0.9412,0.17859854888916016
9,0.9493,0.15851239047050475
10,0.9513,0.1445859760284424
11,0.9601,0.12200387525558472
12,0.9562,0.13373172268867492
13,0.9495,0.1508249090194702
14,0.9683,0.09916621193885804
15,0.9655,0.10467341122627258
16,0.9675,0.09533591911792755
17,0.9709,0.08730063600540161
18,0.9734,0.0777967435836792
19,0.9722,0.08432130162715912
20,0.9685,0.09327199385166168
21,0.9694,0.09044391405582428
22,0.9685,0.09464886221885681
23,0.9681,0.093192520403862
24,0.9684,0.09457050018310546
25,0.9775,0.06922149963378907
